epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
102,5832.97,0.40378,0.27083,0.8107,0.96262,0.96241,0.9799,0.83029,0.59668,0.30683,0.88098,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
103,5888.41,0.41171,0.27192,0.8121,0.96478,0.96735,0.98026,0.83364,0.5946,0.30264,0.87969,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
104,5943.48,0.40551,0.27041,0.81168,0.96338,0.96615,0.97904,0.8292,0.58472,0.29683,0.8752,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
105,5998.58,0.4053,0.26833,0.81208,0.97183,0.96634,0.97934,0.82959,0.5913,0.29792,0.8791,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
106,6053.94,0.39878,0.26602,0.80896,0.9748,0.96533,0.97852,0.82857,0.60114,0.28971,0.88044,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
107,6109.62,0.39517,0.26327,0.80951,0.96007,0.96809,0.97734,0.82812,0.59337,0.30496,0.87729,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
108,6164.73,0.39987,0.26417,0.80767,0.96674,0.96497,0.97772,0.82835,0.58608,0.31085,0.87283,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469
109,6219.81,0.39255,0.26167,0.80998,0.96668,0.96642,0.97791,0.83073,0.59094,0.30775,0.87434,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
110,6274.97,0.39617,0.25916,0.80966,0.96703,0.96354,0.97672,0.82667,0.60039,0.30956,0.87707,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403
111,6330.28,0.39469,0.26121,0.80947,0.9562,0.97571,0.97693,0.82788,0.5912,0.3123,0.87171,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
112,6385.34,0.39111,0.25877,0.80653,0.97155,0.97029,0.98035,0.83293,0.58944,0.30074,0.8723,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
113,6440.8,0.38738,0.26279,0.80935,0.9659,0.96526,0.9788,0.83104,0.59271,0.30548,0.87561,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
114,6496.28,0.39035,0.26084,0.80715,0.97015,0.96915,0.9786,0.83034,0.59242,0.29641,0.87198,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271
115,6551.38,0.39145,0.26084,0.80793,0.96924,0.96537,0.97794,0.83011,0.58871,0.3079,0.87612,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
116,6606.37,0.38718,0.25753,0.80645,0.96078,0.95696,0.97603,0.83015,0.59488,0.32783,0.87378,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
117,6661.46,0.37726,0.25333,0.8064,0.96405,0.96945,0.98049,0.82844,0.59813,0.31411,0.87713,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
118,6716.52,0.39031,0.25744,0.80813,0.96698,0.96388,0.97789,0.82757,0.5947,0.31836,0.87707,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
119,6771.77,0.38691,0.25223,0.80988,0.96437,0.96951,0.98095,0.83446,0.59844,0.31187,0.87637,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
120,6827.02,0.37972,0.25465,0.80655,0.96566,0.9625,0.97989,0.83353,0.59434,0.30008,0.877,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073
121,6881.69,0.37889,0.25076,0.80652,0.96378,0.96621,0.97797,0.83168,0.59494,0.29583,0.87327,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
122,6936.67,0.37758,0.25088,0.80541,0.96758,0.96736,0.97845,0.83105,0.59258,0.30478,0.87445,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007
123,6991.94,0.38099,0.25114,0.80634,0.96598,0.97,0.98272,0.83343,0.59101,0.29989,0.87467,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
124,7047.36,0.3796,0.25083,0.80627,0.96457,0.97091,0.97887,0.82715,0.60097,0.29888,0.88372,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
125,7102.41,0.37105,0.24964,0.8077,0.96878,0.97078,0.97995,0.8312,0.59365,0.2911,0.87979,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
126,7157.27,0.37587,0.2496,0.80666,0.95872,0.9696,0.98023,0.82752,0.59522,0.30774,0.87857,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
